Renewable Energy All Sectors Net Summer Capacity Solar (Case Reference case)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=16-AEO2023&region=0-0&cases=ref2023&start=2021&end=2050&f=A&linechart=~ref2023-d020623a.53-16-AEO2023&ctype=linechart&sourcekey=0
12:22:01 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Year,Renewable Energy: All Sectors: Net Summer Capacity: Solar GW
2050,920.429688
2049,894.12146
2048,867.075378
2047,845.100037
2046,821.866943
2045,790.029541
2044,756.649414
2043,728.834106
2042,705.323181
2041,684.232178
2040,668.688843
2039,645.985962
2038,630.871582
2037,604.9776
2036,584.066772
2035,557.086975
2034,543.640808
2033,517.56073
2032,495.292969
2031,460.989471
2030,432.251099
2029,415.16629
2028,394.11908
2027,361.043701
2026,310.7771
2025,251.314453
2024,201.521561
2023,160.01413
2022,125.051437
2021,
