Renewable Energy All Sectors Net Summer Capacity Solar
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=16-AEO2023&region=0-0&cases=ref2023~highmaclowZTC~lowmachighZTC&start=2021&end=2050&f=A&linechart=~~~ref2023-d020623a.53-16-AEO2023~highmaclowZTC-d020623a.53-16-AEO2023~lowmachighZTC-d020623a.53-16-AEO2023&ctype=linechart&sourcekey=0
14:53:04 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Year,Reference case GW,High Macro and Low Zero-Carbon Technology Cost GW,Low Macro and High Zero-Carbon Technology Cost GW
2050,920.429688,1399.050537,532.29187
2049,894.12146,1325.609741,524.02002
2048,867.075378,1270.491699,517.119568
2047,845.100037,1207.4021,508.48761
2046,821.866943,1164.454956,500.532166
2045,790.029541,1128.206909,491.993866
2044,756.649414,1078.505615,484.398895
2043,728.834106,1020.762451,478.122314
2042,705.323181,962.718994,466.604004
2041,684.232178,925.527527,454.897034
2040,668.688843,889.945679,445.760559
2039,645.985962,862.967773,439.038269
2038,630.871582,823.322449,431.013092
2037,604.9776,786.750427,424.152954
2036,584.066772,746.413208,416.348724
2035,557.086975,686.198669,407.831421
2034,543.640808,642.949097,395.477356
2033,517.56073,602.024475,369.655731
2032,495.292969,547.07605,337.485291
2031,460.989471,514.850952,315.846802
2030,432.251099,474.085571,299.138672
2029,415.16629,449.655365,287.838135
2028,394.11908,434.450745,268.153778
2027,361.043701,386.208862,256.7229
2026,310.7771,312.331879,235.875671
2025,251.314453,251.734787,223.853058
2024,201.521561,201.617371,200.75705
2023,160.01413,160.077667,159.585114
2022,125.051437,125.112823,124.897697
2021,,,
