p_name,p_state,xlong,ylat,p_year,p_area,p_cap_dc,p_cap_ac,Water,Developed,Forest,Barren,Shrubland,Herbaceous,Agricultural,Wetlands
Wright Kirby 1-5 (CSG),MN,-93.7883987427,45.2574996948,2019,92600,7,5,0,0,0,0,0,0,91800,0
Felton (CSG) PV1-5,MN,-92.9717025757,44.5419998169,2019,93358,6.5,5,0,0,0,0,0,0,92700,0
Randolph (CSG) PV1-5,MN,-92.9718017578,44.5270996094,2019,93795,6.5,5,0,0,0,0,0,0,88200,0
Athens MN CONX,MN,-93.2723999023,45.4584999084,2018,123941,8.8,6.62,0,0,117900,0,0,0,4500,0
Rollingstone Holdco (CSG),MN,-91.7912979126,44.1148986816,2019,89591,7,4.8,0,0,900,0,0,0,87300,0
Nautilus Saint Cloud Solar (CSG),MN,-94.1177978516,45.495098114,2019,89384,6.8,5,0,0,0,0,0,0,94500,0
Corcoran (CSG),MN,-93.6453018188,45.0974998474,2019,94364,7,5,0,4500,0,0,0,0,95400,0
"Frontenac Holdco, LLC, (CSG)",MN,-92.3598022461,44.5063018799,2019,78881,7.2,5,0,12600,1800,0,0,24300,47700,0
"Montevideo Solar, LLC, (CSG)",MN,-95.6943969727,44.8965988159,2019,139104,7.5,5,0,0,0,0,0,0,138600,0
West Waconia Solar,MN,-93.9011001587,44.7933006287,2016,216546,12.2,8.5,0,0,0,0,0,0,212400,0
West Faribault Solar,MN,-93.3105010986,44.2742996216,2016,145797,7.9,5.5,0,0,0,0,0,0,147600,0
Waseca Solar,MN,-93.5330963135,44.0923995972,2016,284130,15.9,10,0,0,0,0,0,0,288900,0
Paynesville Solar,MN,-94.7250976562,45.393699646,2016,275280,15.2,10,0,0,0,0,0,0,268200,900
Eastwood Solar,MN,-93.9166030884,44.1545982361,2016,144697,8.2,5.5,0,0,3600,0,0,0,145800,0
Dodge Center Solar,MN,-92.8812026978,44.0265007019,2016,176951,9.9,6.5,0,0,0,0,0,2700,170100,0
Chisago Solar,MN,-92.9019012451,45.4524002075,2016,177544,9.6,6.5,0,0,11700,0,0,0,168300,0
Albany Solar,MN,-94.6036987305,45.6408004761,2016,277393,15.2,10,0,10800,0,0,0,0,274500,0
North Star Solar Project,MN,-92.8901977539,45.4861984253,2016,3112889,138,100,0,0,86400,0,10800,7200,3006000,0
Huneke I (CSG),MN,-92.6694030762,44.2668991089,2018,22384,1.4,1,0,0,0,0,0,0,21600,0
Altair Community Solar Garden,MN,-93.4856033325,43.9263000488,2019,18642,1.5,1,0,0,0,0,0,0,15300,0
Capricornus Community Solar Garden,MN,-94.7164001465,45.3992996216,2019,22207,1.5,1,0,0,0,0,0,0,21600,0
Aquila Community Solar,MN,-95.339302063,45.653301239,2019,23655,1.5,1,0,0,0,0,0,0,19800,0
Cassiopeia Community Solar,MN,-95.3281021118,45.6474990845,2019,22848,1.5,1,0,0,0,0,0,0,23400,0
"Chisago Holdco, LLC, (CSG)",MN,-92.7965011597,45.3860015869,2019,47178,3.9,3,0,0,2700,0,0,0,43200,0
Cottage Grove Project (CSG),MN,-92.8710021973,44.7913017273,2018,86914,6.4,4.9,0,0,0,0,0,0,86400,0
Nautilus Lindstrom Solar (CSG),MN,-92.8160018921,45.3356018066,2019,45570,2.8,2,0,0,0,0,0,0,42300,0
USS Solar Rapids (CSG),MN,-94.1391983032,45.590801239,2019,22326,1,1,0,1800,0,0,0,0,21600,0
USS Norelius Solar (CSG),MN,-92.8925018311,45.4730987549,2019,26514,1,1,0,0,0,0,0,0,22500,0
USS JJ Solar (CSG),MN,-94.0537033081,45.6357002258,2019,27364,1,1,0,0,0,0,0,0,27000,0
USS Brockway Solar (CSG),MN,-94.2129974365,45.6818008423,2019,22627,1,1,0,0,0,0,0,0,22500,0
Syncarpha Dodge 1 (CSG),MN,-92.8800964355,44.0456008911,2019,21440,1.3,1,0,0,0,0,0,0,16200,0
Barone (CSG),MN,-94.0724029541,44.945400238,2018,26215,1.4,1,0,0,0,0,0,0,25200,0
MSC-GreyCloud 01 Community Solar,MN,-92.9963989258,44.8027000427,2019,24793,1.5,1,0,0,6300,8100,900,0,4500,0
MSC-Scandia 01 (CSG),MN,-92.8823013306,45.2886009216,2019,22581,1.5,1,0,0,0,0,0,0,25200,0
Goose Lake MN DPC-GM,MN,-93.2975997925,43.667098999,2019,34737,1.9,1.5,0,0,0,0,0,0,35100,0
Winegar (CSG),MN,-93.5028991699,44.1102981567,2018,26174,1.4,1,0,0,0,0,0,0,27900,0
Deneb Community Solar,MN,-94.8310012817,45.4043006897,2019,21314,1.5,1,0,0,0,0,0,0,18000,0
USS Hockey Pad Solar (CSG),MN,-93.6091995239,44.626701355,2019,11541,1,1,0,0,0,0,0,0,13500,0
Auriga Community Solar,MN,-95.7677001953,43.9808006287,2018,44650,1.5,1,0,0,0,0,0,0,47700,0
Monticello Project (CSG),MN,-93.8282012939,45.2722015381,2018,141816,6.7,5,0,0,0,0,0,0,135000,0
Big Lake Project (CSG),MN,-93.7918014526,45.3362998962,2018,60871,6.9,5,0,0,0,0,0,0,61200,0
"WrightSun (CSG), LLC",MN,-93.71849823,45.2131004333,2018,85658,6.5,5,0,0,0,0,0,0,80100,0
Lake Pulaski Solar,MN,-93.8122024536,45.1957015991,2016,219735,10.9,7.5,0,0,25200,0,0,0,198000,2700
Tatanka Wi,MN,-93.8826980591,45.210899353,2017,176789,8.7,7.11,0,0,0,0,0,0,176400,1800
Annandale Solar,MN,-94.1089019775,45.2481994629,2016,173223,9.1,6,0,0,0,0,0,0,174600,0
Tiller (CSG),MN,-94.0402984619,45.4346008301,2018,130755,6.3,5,0,0,0,0,0,0,132300,0
Sherburne Community Solar,MN,-94.0451965332,45.4380989075,2018,109992,7,5,0,0,0,0,0,0,114300,0
St. Cloud Solar (CSG),MN,-94.12159729,45.4775009155,2018,114848,5,5,0,0,1800,0,0,0,114300,0
Sherburne North Project (CSG),MN,-94.1125030518,45.4995002747,2018,147966,7,5,0,0,0,0,0,0,148500,0
Marmas Solar (CSG),MN,-94.1173019409,45.5564994812,2018,68081,4,4,0,900,0,0,0,0,65700,1800
Shakopee Met Council WTP,MN,-93.4367980957,44.7965011597,2016,21979,1.6,1.3,0,0,0,13500,0,0,9000,0
Atwater Solar,MN,-94.7684020996,45.1409988403,2016,113224,5.9,4,0,0,0,0,0,0,110700,0
Hastings Solar,MN,-92.8248977661,44.7592010498,2016,126760,6.8,4.5,0,0,0,0,0,0,125100,0
Lake Emily Solar,MN,-93.9040985107,44.320400238,2016,125098,6.6,4.5,0,0,0,0,0,0,118800,0
Red Maple Solar,MN,-93.8975982666,44.317199707,2018,53524,3.9,3,0,0,0,0,0,0,49500,0
Lawrence Creek Solar,MN,-92.6940002441,45.4025001526,2016,100922,5.3,3.5,0,0,0,0,0,0,106200,0
Montrose Solar,MN,-93.9231033325,45.0558013916,2016,95908,5,3.5,0,0,0,0,0,0,96300,0
Pine Island Solar,MN,-92.6640014648,44.2051010132,2016,117887,6.5,4,0,0,0,0,0,0,119700,0
Blue Lake Solar,MN,-93.4399032593,44.797000885,2016,54453,3.9,3,0,0,0,36000,0,0,18900,0
Dickinson Solar Array,MN,-93.8139038086,45.1148986816,2016,54970,2.6,2.3,0,0,0,0,0,0,51300,900
"Wake Sun, LLC",MN,-94.4064025879,45.4738998413,2017,66452,4.1,3,0,0,0,0,0,0,70200,0
"BentonSun, LLC",MN,-93.8570022583,44.7649002075,2016,110228,6.9,5,0,0,0,0,0,0,111600,0
Eichtens Community Solar,MN,-92.7650985718,45.3908004761,2016,80618,4.8,3.9,0,0,0,0,0,0,76500,0
Red Wing Community Solar,MN,-92.5109024048,44.5457992554,2016,100961,6.1,4.9,0,0,4500,0,0,0,97200,0
Farmington Holdco Solar,MN,-93.1340026855,44.6216011047,2017,92027,6.2,5,0,0,0,0,0,0,87300,0
Hwy 14 Holdco Solar (CSG),MN,-92.5915985107,44.0241012573,2017,104176,6.7,5,0,0,0,0,0,0,110700,0
Pine Island Solar (CSG),MN,-92.6591033936,44.2159004211,2017,74451,4.8,3.9,0,0,0,0,0,0,73800,0
Wabasha Holdco Solar (CSG),MN,-92.0197982788,44.3675003052,2017,61977,4.1,3,0,0,0,0,0,0,61200,0
GRE Marshan Solar,MN,-92.8171005249,44.6921005249,2017,17166,1.2,1,0,0,0,0,0,0,18900,0
Nesvold Watertown Solar,MN,-93.8345031738,44.9365005493,2018,118429,7,5,0,0,0,0,0,0,118800,0
Lind Solar (CSG),MN,-93.9115982056,44.8009986877,2017,97996,6.1,4.9,0,0,0,0,0,0,99000,0
Michael Solar,MN,-94.7081985474,45.6698989868,2017,94441,4.2,3,0,0,0,0,0,0,90000,0
Novel OYA of Osakis (CSG),MN,-95.1479034424,45.8512992859,2018,132075,7.2,5,0,0,0,0,0,0,127800,0
Lemond Solar,MN,-93.2851028442,44.0825996399,2017,155404,6.6,5,0,0,0,0,0,0,154800,0
Armstrong Solar,MN,-95.3581008911,45.64220047,2018,72296,3.7,3,0,0,0,0,0,0,73800,0
"CF Novel Solar (CSG) Gardens Two, LLC",MN,-93.8375015259,43.8470001221,2017,36815,2.2,1.8,0,0,0,0,0,0,36000,0
"CF Novel Solar (CSG) Gardens Eleven, LLC",MN,-93.962097168,44.2411994934,2017,51049,3.6,3,0,0,0,0,0,0,49500,0
