p_state,MWdc_2021,forest_2021,state.name,MWdc_2024,MWdc_2029,forest_2024,forest_2029,state_id
AL,607.5,3477600,Alabama,740.8800000000001,2068.902,4241126.4,11843314.56,Other
AR,313.70000000000005,126000,Arkansas,561.005,2530.12,225331.94134523426,1016242.0146636912,Other
AZ,3151.7999999999997,0,Arizona,4243.34,9925.965,0,0,Other
CA,16744.599999999995,4500,California,24241.125,36261.119999999995,6514.641287340398,9744.935083549326,Other
CO,1262.9000000000003,13500,Colorado,3751.1369999999997,6836.985,40098.46345712249,73085.19874891122,Other
CT,304,1328400,Connecticut,779.115,1530.635,3404527.5197368423,6688472.15131579,Other
DE,46.90000000000001,0,Delaware,143.105,561.02,0,0,Other
FL,6232.4000000000015,13046400,Florida,14976.360000000002,32707.98,31350295.72941403,68468228.9763173,FL
GA,3910.300000000001,23312700,Georgia,5342.841,8124.156,31853323.11605247,48435161.3894586,GA
IA,150.29999999999998,3600,Iowa,339.575,1142,8133.532934131737,27353.29341317366,Other
ID,323.1,0,Idaho,418.015,1131.88,0,0,Other
IL,775.0999999999998,28800,Illinois,1473.895,5448.065,54764.77357760291,202431.0050316089,Other
IN,678.2,225900,Indiana,1714.347,11472.777,571027.70171041,3821439.581686818,Other
KS,40.4,0,Kansas,78.92,858.5949999999999,0,0,Other
KY,31.499999999999996,4500,Kentucky,95.41,1922.12,13630,274588.5714285714,Other
LA,101.5,0,Louisiana,555.1469999999999,4802.328,0,0,Other
MA,1407.0999999999992,10599300,Massachusetts,2616.365,3728.32,19708362.976689655,28084416.3001919,MA
MD,440.6000000000001,123300,Maryland,1091.5,2248.375,305451.54334997723,629197.9970494779,Other
ME,262.7,1088100,Maine,997.029,2476.071,4129681.2139322422,10255854.035401598,Other
MI,206.80000000000007,132300,Michigan,1311.534,4715.856000000001,839051.9738878141,3016962.034816247,Other
MN,1459.9000000000065,325800,Minnesota,2530.3050000000003,4794.138000000001,564677.9704089296,1069888.4583875563,Other
MO,92.8,143100,Missouri,326.935,2098.69,504142.2252155173,3236234.2564655175,Other
MS,231.29999999999998,4315500,Mississippi,519.0930000000001,2788.1010000000006,9685023.093385216,52019238.50194554,MS
MT,23.5,0,Montana,268.623,1294.956,0,0,Other
NC,7444.199999999998,24534900,North Carolina,8616.303,11147.22,28397965.190980904,36739465.35262353,NC
NE,35.800000000000004,0,Nebraska,182.322,557.2710000000001,0,0,Other
NH,3,25200,New Hampshire,28.389,84.82100000000001,238467.6,712496.4000000001,Other
NJ,912.6999999999996,1437300,New Jersey,2681.09,4006.005,4222121.898761917,6308569.065958149,Other
NM,878.5999999999999,0,New Mexico,2318.49,7266.717000000001,0,0,Other
NV,3668.0000000000005,0,Nevada,6592.923,14174.1,0,0,Other
NY,1018.4,2686500,New York,2917.1800000000003,8420.755,7695408.55263158,22213627.560388844,Other
OH,604.6,127800,Ohio,2539.755,10885.446,536851.9500496197,2300959.3099569962,Other
OK,54.7,0,Oklahoma,94.68,1038.6550000000002,0,0,Other
OR,800.9,31500,Oregon,907.32,1987.83,35685.57872393558,78182.85054313896,Other
PA,176.40000000000003,209700,Pennsylvania,1083.835,2716.025,1288436.5051020407,3228744.0051020402,Other
RI,190,1249200,Rhode Island,514.67,1006.245,3383819.8105263156,6615796.073684211,Other
SC,1523.1999999999996,10194300,South Carolina,2309.2110000000002,4664.790000000001,15454825.1689207,31219976.823135518,SC
SD,1.3,0,South Dakota,241.30800000000002,609.246,0,0,Other
TN,228.6,403200,Tennessee,805.671,2245.284,1421026.0157480317,3960185.9527559057,Other
TX,10725.500000000002,481500,Texas,28928.106,74381.63399999999,1298669.8092396623,3339215.5863129916,Other
UT,1608.1999999999998,5400,Utah,2799.099,7865.892,9398.790324586496,26412.02387762716,Other
VA,2647.8000000000006,16421400,Virginia,4876.191,12358.611,30241665.86879673,76646912.4085656,VA
VT,167.20000000000007,405000,Vermont,214.83,298.85,520371.7105263156,723889.0550239232,Other
WA,32,0,Washington,355.44,1129.265,0,0,Other
WI,646.4000000000001,43200,Wisconsin,2093.841,6608.862,139934.91831683167,441681.3712871287,Other
WY,98,0,Wyoming,111.98700000000001,718.101,0,0,Other
