p_state,n,acreage,capacity,state.name
AL,8,2636.2264648057508,607.5,Alabama
AR,12,1166.6287377697702,313.7,Arkansas
AZ,67,14856.338284505973,3151.8,Arizona
CA,475,84135.16998413192,16746.6,California
CO,96,5620.521369154665,1262.9,Colorado
CT,39,751.1331469964235,304,Connecticut
DC,2,8.948674284451926,9,District of Columbia
DE,11,166.43140494729107,46.9,Delaware
FL,84,21425.945215169686,6232.4,Florida
GA,88,14836.071936644945,3910.3,Georgia
HI,23,1262.5038960413601,362.9,Hawaii
IA,9,661.7249836632109,150.3,Iowa
ID,9,1664.8381599870024,323.1,Idaho
IL,80,3277.134549818023,775.1,Illinois
IN,70,2091.6714398728254,678.2,Indiana
KS,6,189.97140490199763,40.4,Kansas
KY,4,102.56479515866897,31.5,Kentucky
LA,2,388.43532755425883,101.5,Louisiana
MA,382,4768.674987622906,1407.1,Massachusetts
MD,67,1372.2703304375082,440.6,Maryland
ME,10,564.3400115108566,262.7,Maine
MI,27,808.9871886431865,206.8,Michigan
MN,390,6227.707476968877,1459.9,Minnesota
MO,19,313.53719222079803,92.8,Missouri
MS,6,1263.6175999956326,231.29999999999998,Mississippi
MT,6,123.70441343780351,23.5,Montana
NC,651,26879.661556040282,7444.2,North Carolina
NE,8,149.42363575166902,35.8,Nebraska
NH,1,8.956581656658875,3,New Hampshire
NJ,148,2875.4333698596997,912.7,New Jersey
NM,64,4805.662462437056,878.6,New Mexico
NV,40,14948.747542697105,3668,Nevada
NY,232,3869.056216902863,1018.4,New York
OH,30,2424.2527967379165,604.6,Ohio
OK,10,274.42807060137125,54.699999999999996,Oklahoma
OR,100,3564.946342090419,800.9,Oregon
PA,29,664.8721178015767,176.4,Pennsylvania
RI,37,582.135552662596,190,Rhode Island
SC,86,6370.156316223253,1523.2,South Carolina
SD,1,6.427705182723905,1.3,South Dakota
TN,15,992.7982563852078,228.6,Tennessee
TX,97,55910.236584527855,10725.5,Texas
UT,33,8698.236439810295,1608.2,Utah
VA,51,9916.921632766844,2647.8,Virginia
VT,43,659.3065632947917,167.2,Vermont
WA,2,190.9494480018447,32,Washington
WI,28,2305.743032629316,646.4,Wisconsin
WY,1,423.7093736533152,98,Wyoming
